=== HISTORY-TOO-SHORT (28) ===
                                                                                   driver_id  history_years frequency_declared                                                                                                                                                                                                                            quality_notes
                                                                             LA_PLP_CAPACITY           5.00            Monthly                                                                                                                                      history 5.0y is below the 8y minimum; latest observation 2018-12 is 2803d old against a 107d budget
                                                 EU_ATLANTIC_COD_NOKUSD_EURUSD_EXCHANGE_RATE           4.50              Daily                                                                                                                                                                                                     history 4.5y is below the 8y minimum
                                                                             LA_PLP_CNDEMAND           2.00            Monthly                                                                                                    history 2.0y is below the 8y minimum; only 50% of months carry a value; latest observation 2017-12 is 3168d old against a 122d budget
                                            BRAZIL_BEEF_BRAZIL_AUSTRALIA_BEEF_EXPORT_VOLUMES           2.00            Monthly                                                                                                                                       history 2.0y is below the 8y minimum; latest observation 2015-12 is 3899d old against a 92d budget
                                        NORTH_AMERICA_BEEF_LIVEFEEDER_CATTLE_CASH_PRICE_SPOT           7.00            Monthly                                                                                                                                       history 7.0y is below the 8y minimum; latest observation 2020-12 is 2072d old against a 92d budget
                                           NORTH_AMERICA_BEEF_DROUGHTPASTURE_CONDITION_INDEX           7.50             Weekly                                                                                                     history 7.5y is below the 8y minimum; only 51% of months carry a value; latest observation 2021-10 is 1768d old against a 92d budget
                                                            US_BEEF_US_CATTLE_HERD_INVENTORY           7.58             Annual history 7.6y is below the 8y minimum; only 18% of months carry a value; latest observation 2021-07 is 1860d old against a 92d budget; [info] declared native_frequency='Annual' vs detected cadence='Quarterly' from observation spacing
                                              CHINA_BEEF_CHINAJAPANSOUTH_KOREA_IMPORT_DEMAND           1.00            Monthly                                                                                                                                       history 1.0y is below the 8y minimum; latest observation 2014-12 is 4264d old against a 92d budget
                       SOUTH_AFRICA_CEMENT_SOUTH_AFRICA_CONSTRUCTION_HOUSING_STARTS_STATS_SA           3.25            Monthly                                                                                                                                        history 3.2y is below the 8y minimum; latest observation 2024-03 is 886d old against a 92d budget
                                     AUSTRALIA_CHEESE_AUSTRALIA_DAIRY_FEED_COST_GRAINPASTURE           6.67             Weekly                                                                                                     history 6.7y is below the 8y minimum; only 53% of months carry a value; latest observation 2020-08 is 2194d old against a 92d budget
                              AUSTRALIA_CHEESE_AUSTRALIA_DAIRY_EXPORT_DEMAND_CHINAJAPANASEAN           4.00            Monthly                                                                                                                                       history 4.0y is below the 8y minimum; latest observation 2021-12 is 1707d old against a 92d budget
                                                 CHINA_CORRUGATED_BOARDS_CHINA_EXPORT_DEMAND           4.00            Monthly                                                                                                                                        history 4.0y is below the 8y minimum; latest observation 2024-12 is 611d old against a 92d budget
                                      NORTH_AMERICA_FERROTUNGSTEN_FEEDSTOCK_IRON_OREFE_SCRAP           5.58            Monthly                                                                                                                                       history 5.6y is below the 8y minimum; latest observation 2023-07 is 1130d old against a 92d budget
                 NORTH_AMERICA_FERROTUNGSTEN_CHINESE_DOMESTIC_TOOLINGCUTTING_INDUSTRY_DEMAND           2.00            Monthly                                                                                                                                       history 2.0y is below the 8y minimum; latest observation 2019-12 is 2438d old against a 92d budget
                                                           MEA_GLASS_BOTTLES_BRENT_CRUDE_OIL           6.58              Daily                                                                                                                                                                                                     history 6.6y is below the 8y minimum
                                                    EU_GLASS_BOTTLES_EXCHANGE_RATE_VS_USDEUR           6.75              Daily                                                                                                                                                                                                     history 6.8y is below the 8y minimum
                                    GLOBAL_GLYCERIN_CRUDE_OIL_PRICE_SYNTHETIC_GLYCERIN_ROUTE           6.58              Daily                                                                                                                                                                                                     history 6.6y is below the 8y minimum
                                                 EU_GLYCERIN_EUGERMANY_NATURAL_GAS_PRICE_TTF           6.50            Monthly                                                                                                                                                                                                     history 6.5y is below the 8y minimum
                                            NORTH_AMERICA_FERROTUNGSTEN_TRADE_IMPORTSEXPORTS           3.00            Monthly                                                                                                                                       history 3.0y is below the 8y minimum; latest observation 2020-12 is 2072d old against a 92d budget
                                            EU_MAGNESIUM_STEARATE_MACRO_EXCHNAGE_RATE_EURUSD           3.75              Daily                                                                                                                                                                                                     history 3.8y is below the 8y minimum
                               EUROPE_MAGNESIUM_STEARATE_TALLOWVEGETABLE_OIL_FEEDSTOCK_PRICE           3.50            Monthly                                                                                                                                                                                                     history 3.5y is below the 8y minimum
                             INDIA_NATURAL_GAS_INDIA_COALTOGAS_SWITCHING_IN_POWER_GENERATION           3.42            Monthly                                                                                                                                       history 3.4y is below the 8y minimum; latest observation 2017-05 is 3382d old against a 92d budget
                                 INDIA_NATURAL_GAS_INDIA_NATURAL_GAS_INVENTORYSTORAGE_LEVELS           3.42            Monthly                                                                                                                                       history 3.4y is below the 8y minimum; latest observation 2017-05 is 3382d old against a 92d budget
INDIA_NATURAL_GAS_SECTORAL_GAS_CONSUMPTION_FERTILIZER_CGD_POWER_REFINERY_PETROCHEMICAL_INDIA           3.42            Monthly                                                                                                                                       history 3.4y is below the 8y minimum; latest observation 2017-05 is 3382d old against a 92d budget
                            GLOBAL_PARACETAMOL_CRUDE_OIL_PRICE_PETROCHEMICAL_FEEDSTOCK_CHAIN           5.58              Daily                                                                                                                                                                                                     history 5.6y is below the 8y minimum
                                               INDIA_PARACETAMOL_USDINR_USDCNY_EXCHANGE_RATE           5.75              Daily                                                                                                                                                                                                     history 5.8y is below the 8y minimum
                       BRAZIL_PULP_GLOBAL_PULP_MILL_CAPACITYOUTPUT_BRAZIL_CANADA_SCANDINAVIA           5.00             Annual                                     history 5.0y is below the 8y minimum; latest observation 2018-12 is 2803d old against a 92d budget; [info] declared native_frequency='Annual' vs detected cadence='Monthly' from observation spacing
                                       EU_SKIM_MILK_POWDER_GERMANYEU_MILK_PRODUCTION_VOLUMES           2.08            Monthly                                                                                                      history 2.1y is below the 8y minimum; only 8% of months carry a value; latest observation 2020-01 is 2407d old against a 92d budget
